ticker,date,open,high,low,close,adjusted_close,volume
AAPL,2024-10-28,242.390000,245.980000,240.040000,243.630000,243.630000,16703140
AAPL,2024-10-29,244.820000,245.520000,242.090000,242.780000,242.780000,29057046
AAPL,2024-10-30,241.320000,248.660000,239.810000,247.150000,247.150000,29731295
AAPL,2024-10-31,248.050000,249.400000,245.360000,246.700000,246.700000,19740522
AAPL,2024-11-01,245.630000,247.600000,244.670000,246.640000,246.640000,20708534
AAPL,2024-11-04,246.590000,248.870000,244.170000,246.450000,246.450000,24549254
AAPL,2024-11-05,246.090000,248.900000,245.380000,248.180000,248.180000,12399715
AAPL,2024-11-06,248.530000,254.310000,248.320000,254.100000,254.100000,31591543
AAPL,2024-11-07,254.430000,258.680000,251.430000,255.690000,255.690000,24556281
AAPL,2024-11-08,256.250000,259.760000,255.030000,258.550000,258.550000,35069022
AAPL,2024-11-11,259.300000,260.460000,257.160000,258.320000,258.320000,12585642
AAPL,2024-11-12,258.500000,263.210000,257.960000,262.670000,262.670000,12483371
AAPL,2024-11-13,261.820000,262.710000,256.500000,257.390000,257.390000,12833171
AAPL,2024-11-14,256.440000,256.840000,254.370000,254.770000,254.770000,14109838
AAPL,2024-11-15,256,256.800000,252.390000,253.190000,253.190000,27353822
AAPL,2024-11-18,254.900000,257.130000,249.540000,251.770000,251.770000,31708802
AAPL,2024-11-19,253.260000,254.100000,247.520000,248.360000,248.360000,30191620
AAPL,2024-11-20,249.400000,249.900000,246,246.500000,246.500000,25117260
AAPL,2024-11-21,247.240000,247.360000,243.600000,243.730000,243.730000,37225106
AAPL,2024-11-22,243.560000,245.210000,243.130000,244.790000,244.790000,39438531
AAPL,2024-11-25,243.390000,246.800000,243.390000,246.790000,246.790000,14455465
AAPL,2024-11-26,245.430000,246.140000,244.090000,244.800000,244.800000,36238115
AAPL,2024-11-27,245.050000,248.010000,244.990000,247.950000,247.950000,25755071
AAPL,2024-11-28,246.940000,254.040000,244.930000,252.030000,252.030000,17999123
AAPL,2024-11-29,250.730000,251.550000,250.130000,250.950000,250.950000,26709630
AAPL,2024-12-02,249.140000,251.720000,247.320000,249.900000,249.900000,29479243
AAPL,2024-12-03,249.470000,250.730000,249.470000,250.730000,250.730000,32831972
AAPL,2024-12-04,250.790000,253.340000,250.350000,252.900000,252.900000,25058157
AAPL,2024-12-05,252.680000,253.090000,248.530000,248.940000,248.940000,30841987
AAPL,2024-12-06,247.340000,254.080000,244.140000,250.880000,250.880000,14976326
AAPL,2024-12-09,252.750000,253.020000,244.440000,244.710000,244.710000,23257393
AAPL,2024-12-10,245.260000,247.470000,237.180000,239.390000,239.390000,29189938
AAPL,2024-12-11,240.410000,241.820000,239.360000,240.780000,240.780000,6068477
AAPL,2024-12-12,241.480000,247.480000,240.310000,246.310000,246.310000,22278534
AAPL,2024-12-13,246.760000,248.750000,237.490000,239.490000,239.490000,17938067
AAPL,2024-12-16,237.340000,249.160000,236.610000,248.430000,248.430000,16101927
